price_zar,city,suburb,property_type,bedrooms,bathrooms,parkings,floor_size_m2,erf_size_m2,title,source_text,province,garages
1299000.0,,Boulevard,Townhouse,2.0,2.0,2.0,101.0,,,"68 Greenstone Ridge, 1 Emerald Boulevard",Gauteng,0.0
780000.0,,Place,Apartment,1.0,1.0,1.0,45.0,,,"Unit 109 Sheraton, 78b Lopis Place,",Gauteng,0.0
749000.0,,Square,Apartment,2.0,1.0,2.0,68.0,,,"74 Victoria Square, 74 Victoria Square",Gauteng,0.0
780000.0,,Place,Apartment,1.0,1.0,1.0,45.0,,,78b Lopis Place,Gauteng,0.0
780000.0,,Place,Apartment,1.0,1.0,1.0,45.0,,,78b Lopis Place,Gauteng,0.0
925000.0,,Close,Apartment,2.0,1.0,1.0,70.0,,,"106 Ss THE Vineyard, 2 Harris Close",Gauteng,0.0
820000.0,,Lane,Apartment,1.0,1.0,1.0,57.0,,,"Fish Eagle View, 15c Benacre Lane",Gauteng,0.0
970000.0,,Park,Apartment,2.0,1.0,2.0,74.0,,,"32 the Reeds, 11 Fuschia Drive, Waterstone Park,",Gauteng,0.0
1150000.0,,Close,Apartment,2.0,2.0,1.0,73.0,,,"17 Strelitzia, 4 Stone Close",Gauteng,0.0
780000.0,,Close,Apartment,1.0,1.0,1.0,44.0,,,10 Stone Close,Gauteng,0.0
1500000.0,,Lane,Apartment,2.0,2.0,4.0,86.0,,,15 Benacre Lane,Gauteng,0.0
540000.0,,Voortrekker,Apartment,1.0,1.0,1.0,53.0,,,"24 Desnor, 97 Voortrekker",Gauteng,0.0
900000.0,,Close,Apartment,2.0,2.0,1.0,70.0,,,"U189 Strelitzia, 2 Stone Close",Gauteng,0.0
1650000.0,,Close,Townhouse,2.0,2.0,3.0,108.0,,,"U171 Malakite, 62 Stone Close",Gauteng,0.0
1659900.0,,Lethabong,Townhouse,2.0,2.0,2.0,96.0,,,"Fish Eagle View, 15c Benacre Lane, Longlake Ext 6, Lethabong",Gauteng,0.0
720000.0,,Close,Apartment,1.0,1.0,2.0,52.0,,,"U71-B6 Strelitzia, 4 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,105.0,,,"134 Ss Malakite, 10 Stone Close",Gauteng,0.0
899900.0,,Close,Apartment,1.0,1.0,1.0,60.0,,,"48610066 Ss Malakite, 10 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,105.0,,,"134 Ss Malakite, 10 Stone Close",Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,109.0,,,"1200505 Ss Malakite, 10 Stone Close",Gauteng,0.0
669300.0,,Edenvale,Apartment,1.0,1.0,1.0,54.0,,,67 7th Avenue Edenvale Gauteng,Gauteng,0.0
799900.0,,Close,Apartment,1.0,1.0,1.0,47.0,,,"37710026 Ss Malakite, 10 Stone Close",Gauteng,0.0
790000.0,,Close,Apartment,1.0,1.0,1.0,45.0,,,344 Stone Close,Gauteng,0.0
1300000.0,,Boulevard,Townhouse,2.0,2.0,2.0,104.0,,,23 Emerald Boulevard,Gauteng,0.0
1220000.0,,Boulevard,Townhouse,2.0,2.0,2.0,100.0,,,24 Emerald Boulevard,Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,105.0,,,"106 Ss Malakite, 10 Stone Close",Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,105.0,,,"6565 Ss Malakite, 10 Stone Close",Gauteng,0.0
755000.0,,Smith,Apartment,2.0,2.0,1.0,74.0,,,999 Smith,Gauteng,0.0
755000.0,,Smith,Apartment,2.0,2.0,1.0,74.0,,,999 Smith,Gauteng,0.0
1375000.0,,Hereford,Townhouse,2.0,2.0,2.0,97.0,,,"322 Greenstone Gate, 18 Hereford",Gauteng,0.0
1195000.0,,Boulevard,Apartment,2.0,1.0,2.0,81.0,,,23 Emerald Boulevard,Gauteng,0.0
1250000.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,344 Stone Close,Gauteng,0.0
899000.0,,Place,Apartment,1.0,1.0,1.0,45.0,,,38 Greenstone Place,Gauteng,0.0
1300000.0,,Boulevard,Apartment,2.0,2.0,2.0,85.0,,,1 Emerald Boulevard,Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,109.0,,,"10609 Ss Malakite, 10 Stone Close",Gauteng,0.0
